Target,Feature,Source Depth,Importance,Model
moisture 10cm ,moisture_20cm,moisture 20,0.8298677258018095,rf1
moisture 10cm ,temperature_c,moisture 20,0.06612623405148958,rf1
moisture 10cm ,humidity_percent,moisture 20,0.04043016862694251,rf1
moisture 10cm ,wind_speed_max2,moisture 20,0.017303306939383083,rf1
moisture 10cm ,radiation,moisture 20,0.017159412256147547,rf1
moisture 10cm ,vpd,moisture 20,0.009709104354535689,rf1
moisture 10cm ,wind_speed,moisture 20,0.009415895569974509,rf1
moisture 10cm ,leaf_wet,moisture 20,0.007465891487176913,rf1
moisture 10cm ,amnt_precp,moisture 20,0.002522260912540715,rf1
moisture 10cm ,moisture_30cm,moisture 30,0.6648635050479635,rf2
moisture 10cm ,temperature_c,moisture 30,0.12355882905006019,rf2
moisture 10cm ,humidity_percent,moisture 30,0.07979131774203295,rf2
moisture 10cm ,wind_speed_max2,moisture 30,0.03611043854387097,rf2
moisture 10cm ,radiation,moisture 30,0.027667839402245733,rf2
moisture 10cm ,leaf_wet,moisture 30,0.02490365522112667,rf2
moisture 10cm ,vpd,moisture 30,0.01898128959107482,rf2
moisture 10cm ,wind_speed,moisture 30,0.018247183513251504,rf2
moisture 10cm ,amnt_precp,moisture 30,0.005875941888373722,rf2
moisture 10cm ,moisture_40cm,moisture 40,0.6428033592427378,rf3
moisture 10cm ,temperature_c,moisture 40,0.13711564913178503,rf3
moisture 10cm ,humidity_percent,moisture 40,0.07024497409352688,rf3
moisture 10cm ,wind_speed_max2,moisture 40,0.038147052059066384,rf3
moisture 10cm ,wind_speed,moisture 40,0.03634567794143968,rf3
moisture 10cm ,leaf_wet,moisture 40,0.032144089606517975,rf3
moisture 10cm ,radiation,moisture 40,0.025343901391255218,rf3
moisture 10cm ,vpd,moisture 40,0.014731212633377075,rf3
moisture 10cm ,amnt_precp,moisture 40,0.00312408390029408,rf3
moisture 10cm ,moisture_50cm,moisture 50,0.5282634250532102,rf4
moisture 10cm ,temperature_c,moisture 50,0.1732787955139219,rf4
moisture 10cm ,humidity_percent,moisture 50,0.10781064110096952,rf4
moisture 10cm ,wind_speed_max2,moisture 50,0.05029870144018521,rf4
moisture 10cm ,radiation,moisture 50,0.04158880469962096,rf4
moisture 10cm ,leaf_wet,moisture 50,0.03760590544179876,rf4
moisture 10cm ,wind_speed,moisture 50,0.03119128120484402,rf4
moisture 10cm ,vpd,moisture 50,0.02482346500534201,rf4
moisture 10cm ,amnt_precp,moisture 50,0.005138980540107371,rf4
moisture 10cm ,moisture_60cm,moisture 60,0.5672359316693695,rf5
moisture 10cm ,temperature_c,moisture 60,0.18474488406686707,rf5
moisture 10cm ,humidity_percent,moisture 60,0.08812923026549482,rf5
moisture 10cm ,radiation,moisture 60,0.03939580903871962,rf5
moisture 10cm ,wind_speed_max2,moisture 60,0.03937829377419123,rf5
moisture 10cm ,leaf_wet,moisture 60,0.02835322523941404,rf5
moisture 10cm ,vpd,moisture 60,0.023696249289143035,rf5
moisture 10cm ,wind_speed,moisture 60,0.022708329073409222,rf5
moisture 10cm ,amnt_precp,moisture 60,0.006358047583391518,rf5
moisture 20cm ,moisture_10cm,moisture 10,0.8619611821561322,rf6
moisture 20cm ,temperature_c,moisture 10,0.05381119498872958,rf6
moisture 20cm ,humidity_percent,moisture 10,0.028084473511984002,rf6
moisture 20cm ,radiation,moisture 10,0.014077090105378262,rf6
moisture 20cm ,wind_speed_max2,moisture 10,0.013220244392262525,rf6
moisture 20cm ,wind_speed,moisture 10,0.011123666953040692,rf6
moisture 20cm ,vpd,moisture 10,0.008189433121080763,rf6
moisture 20cm ,leaf_wet,moisture 10,0.007734302539560926,rf6
moisture 20cm ,amnt_precp,moisture 10,0.0017984122318311954,rf6
moisture 20cm ,moisture_30cm,moisture 30,0.8349643131798311,rf7
moisture 20cm ,temperature_c,moisture 30,0.0729647685973248,rf7
moisture 20cm ,humidity_percent,moisture 30,0.03593210700920829,rf7
moisture 20cm ,wind_speed,moisture 30,0.013611506477027805,rf7
moisture 20cm ,wind_speed_max2,moisture 30,0.01288434636491311,rf7
moisture 20cm ,leaf_wet,moisture 30,0.010367139131752998,rf7
moisture 20cm ,radiation,moisture 30,0.00955970687579602,rf7
moisture 20cm ,vpd,moisture 30,0.008588743999465433,rf7
moisture 20cm ,amnt_precp,moisture 30,0.001127368364680482,rf7
moisture 20cm ,moisture_40cm,moisture 40,0.801146573084298,rf8
moisture 20cm ,temperature_c,moisture 40,0.07837610665394255,rf8
moisture 20cm ,humidity_percent,moisture 40,0.046055585822064,rf8
moisture 20cm ,wind_speed_max2,moisture 40,0.022007790574208368,rf8
moisture 20cm ,radiation,moisture 40,0.01791874560620911,rf8
moisture 20cm ,wind_speed,moisture 40,0.017402026995842274,rf8
moisture 20cm ,leaf_wet,moisture 40,0.008580334675750466,rf8
moisture 20cm ,vpd,moisture 40,0.007490979753596588,rf8
moisture 20cm ,amnt_precp,moisture 40,0.001021856834088578,rf8
moisture 20cm ,moisture_50cm,moisture 50,0.7110232680550863,rf9
moisture 20cm ,temperature_c,moisture 50,0.1288862298573576,rf9
moisture 20cm ,humidity_percent,moisture 50,0.0603142241178609,rf9
moisture 20cm ,wind_speed_max2,moisture 50,0.029908843994083285,rf9
moisture 20cm ,leaf_wet,moisture 50,0.020887772924329442,rf9
moisture 20cm ,radiation,moisture 50,0.019575723489177757,rf9
moisture 20cm ,wind_speed,moisture 50,0.01889322398462547,rf9
moisture 20cm ,vpd,moisture 50,0.009435224512279213,rf9
moisture 20cm ,amnt_precp,moisture 50,0.0010754890652001495,rf9
moisture 20cm ,moisture_60cm,moisture 60,0.6914648175441513,rf10
moisture 20cm ,temperature_c,moisture 60,0.14030037106537158,rf10
moisture 20cm ,humidity_percent,moisture 60,0.0629215820082555,rf10
moisture 20cm ,wind_speed_max2,moisture 60,0.02500411460212051,rf10
moisture 20cm ,leaf_wet,moisture 60,0.023949231490202366,rf10
moisture 20cm ,radiation,moisture 60,0.01965634241535211,rf10
moisture 20cm ,wind_speed,moisture 60,0.01821949415943478,rf10
moisture 20cm ,vpd,moisture 60,0.01499896541883752,rf10
moisture 20cm ,amnt_precp,moisture 60,0.0034850812962743554,rf10
moisture 30cm,moisture_10cm,moisture 10,0.7503770461777886,rf11
moisture 30cm,temperature_c,moisture 10,0.0999980019474552,rf11
moisture 30cm,humidity_percent,moisture 10,0.0516823432449218,rf11
moisture 30cm,wind_speed_max2,moisture 10,0.03174858679491777,rf11
moisture 30cm,radiation,moisture 10,0.019041017867768396,rf11
moisture 30cm,wind_speed,moisture 10,0.018244982257583024,rf11
moisture 30cm,vpd,moisture 10,0.016520142418457114,rf11
moisture 30cm,leaf_wet,moisture 10,0.00852173732641539,rf11
moisture 30cm,amnt_precp,moisture 10,0.0038661419646926947,rf11
moisture 30cm,moisture_20cm,moisture 20,0.8597406768647983,rf12
moisture 30cm,temperature_c,moisture 20,0.061094571597771825,rf12
moisture 30cm,humidity_percent,moisture 20,0.02865149962879691,rf12
moisture 30cm,wind_speed_max2,moisture 20,0.01568087861607405,rf12
moisture 30cm,wind_speed,moisture 20,0.011284816834065112,rf12
moisture 30cm,leaf_wet,moisture 20,0.008635289791792308,rf12
moisture 30cm,vpd,moisture 20,0.007119064677112792,rf12
moisture 30cm,radiation,moisture 20,0.00678809036006289,rf12
moisture 30cm,amnt_precp,moisture 20,0.0010051116295259263,rf12
moisture 30cm,moisture_40cm,moisture 40,0.947709753214005,rf13
moisture 30cm,temperature_c,moisture 40,0.02029723262053801,rf13
moisture 30cm,humidity_percent,moisture 40,0.012095301310024315,rf13
moisture 30cm,wind_speed_max2,moisture 40,0.00569247784521066,rf13
moisture 30cm,radiation,moisture 40,0.005227951663792646,rf13
moisture 30cm,wind_speed,moisture 40,0.0038791205646992195,rf13
moisture 30cm,vpd,moisture 40,0.0026390589527264747,rf13
moisture 30cm,leaf_wet,moisture 40,0.0016326603762508037,rf13
moisture 30cm,amnt_precp,moisture 40,0.0008264434527530311,rf13
moisture 30cm,moisture_50cm,moisture 50,0.8925991444271387,rf14
moisture 30cm,temperature_c,moisture 50,0.03971929860267484,rf14
moisture 30cm,humidity_percent,moisture 50,0.024734838049771956,rf14
moisture 30cm,wind_speed_max2,moisture 50,0.012308306835774697,rf14
moisture 30cm,leaf_wet,moisture 50,0.009074252630801572,rf14
moisture 30cm,radiation,moisture 50,0.008461924225024054,rf14
moisture 30cm,wind_speed,moisture 50,0.006464583802307342,rf14
moisture 30cm,vpd,moisture 50,0.00565661268830264,rf14
moisture 30cm,amnt_precp,moisture 50,0.0009810387382040073,rf14
moisture 30cm,moisture_60cm,moisture 60,0.7500266172914752,rf15
moisture 30cm,temperature_c,moisture 60,0.13168037618615755,rf15
moisture 30cm,humidity_percent,moisture 60,0.040558789568380556,rf15
moisture 30cm,wind_speed_max2,moisture 60,0.016789063276390084,rf15
moisture 30cm,vpd,moisture 60,0.016585136722471815,rf15
moisture 30cm,radiation,moisture 60,0.01432439767183963,rf15
moisture 30cm,leaf_wet,moisture 60,0.01427084524884086,rf15
moisture 30cm,wind_speed,moisture 60,0.011854608249431376,rf15
moisture 30cm,amnt_precp,moisture 60,0.0039101657850129255,rf15
moisture 40cm,moisture_10cm,moisture 10,0.6035846713081412,rf16
moisture 40cm,temperature_c,moisture 10,0.17010418609138123,rf16
moisture 40cm,humidity_percent,moisture 10,0.07422479457689543,rf16
moisture 40cm,wind_speed_max2,moisture 10,0.03548886765904332,rf16
